Fecha;NMT;Nombre;Ld;Le;Ln;LAeq24;LAS01;LAS10;LAS50;LAS90;LAS99
feb-22;30;Campo de las Naciones;62,2;58,1;52,2;60;67,2;61,5;56;45,3;42,5
feb-22;31;Sanchinarro;63,1;62,5;52,8;61,4;71,7;66,2;53,4;43;39,8
feb-22;47;Méndez Álvaro;56,7;55,6;49,5;55,1;66,2;55,5;48,3;39,7;36,6
feb-22;48;Castellana;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D
feb-22;50;Pza de Castilla;66;65,4;60,4;64,6;70,6;66,5;62,7;53,8;47,8
feb-22;54;Ensanche de Vallecas;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D
feb-22;55;Urbanización Embajada II;59,2;55,1;50,9;57,1;65,7;59;51,9;44,5;41,6
feb-22;86;Tres Olivos;57;54,8;49,7;55,2;64,6;58,3;49,8;39;37,2
mar-22;1;Paseo de Recoletos;67,2;65,9;62,5;65,8;72;67,7;61,3;53,5;48
mar-22;2;Carlos V;70,9;69,3;66,5;69,5;75,2;70,9;66,9;60,3;55,1
mar-22;3;Plaza del Carmen;61,4;63,8;59,2;61,4;69,7;63,6;57,6;50,4;45,7
mar-22;4;Plaza de España;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D
mar-22;5;Barrio del Pilar;66,1;61;53,8;63,7;67,8;63,5;57,8;44,4;38,6
mar-22;6;Gregorio Marañón;70,9;69,7;65,8;69,4;76,8;72,2;65,7;57,5;51,4
mar-22;8;Escuelas Aguirre;65,5;64,8;61,7;64,4;70,8;66,3;61,4;56,1;53
mar-22;10;Cuatro Caminos;65,8;64,4;59,4;64,2;72,7;67,7;60,1;49,7;47,2
mar-22;11;Ramón y Cajal;69,4;68,4;62,5;67,9;72,9;68,6;63,3;57,6;54
mar-22;12;Plaza Manuel Becerra;63,7;63,1;58,1;62,4;70,2;64,3;60,1;51,5;44,3
mar-22;13;Vallecas;63,5;57,2;50,7;60,9;66,8;60,8;53,9;41,7;38,6
mar-22;14;Glorieta Fdez. Ladreda;64,4;63,3;59;63;69,7;65;61,1;53,2;47,3
mar-22;16;Arturo Soria;62,3;58,1;52,8;60,1;66,2;60,3;54,3;41;36,6
mar-22;17;Villaverde;59,8;58,6;49,1;58;65,9;58,9;52,5;41,5;37,7
